emotion,confidence,timestamp,datetime
happy,0.59,1768804567.2481823,2026-01-19 13:36:07
neutral,0.73,1768804567.6918657,2026-01-19 13:36:07
sad,0.42,1768804568.1916237,2026-01-19 13:36:08
neutral,0.58,1768804568.6233642,2026-01-19 13:36:08
neutral,0.69,1768804568.9649887,2026-01-19 13:36:08
neutral,0.93,1768804569.294166,2026-01-19 13:36:09
happy,0.64,1768804569.6108687,2026-01-19 13:36:09
neutral,0.41,1768804569.899337,2026-01-19 13:36:09
neutral,0.48,1768804570.2309818,2026-01-19 13:36:10
neutral,0.65,1768804570.489615,2026-01-19 13:36:10
neutral,0.42,1768804570.7324293,2026-01-19 13:36:10
neutral,0.52,1768804571.0303783,2026-01-19 13:36:11
neutral,0.54,1768804571.3261194,2026-01-19 13:36:11
neutral,0.49,1768804571.5744133,2026-01-19 13:36:11
neutral,0.58,1768804571.8973413,2026-01-19 13:36:11
neutral,0.57,1768804572.2328832,2026-01-19 13:36:12
neutral,0.52,1768804572.5546186,2026-01-19 13:36:12
neutral,0.41,1768804572.8607156,2026-01-19 13:36:12
neutral,0.49,1768804573.1398327,2026-01-19 13:36:13
happy,0.63,1768804573.4280097,2026-01-19 13:36:13
happy,0.67,1768804573.7234688,2026-01-19 13:36:13
happy,0.82,1768804573.9712548,2026-01-19 13:36:13
happy,0.84,1768804574.3309073,2026-01-19 13:36:14
happy,0.88,1768804574.6597242,2026-01-19 13:36:14
happy,0.81,1768804574.998073,2026-01-19 13:36:14
happy,0.79,1768804575.228385,2026-01-19 13:36:15
happy,0.85,1768804575.469525,2026-01-19 13:36:15
happy,0.87,1768804575.7201,2026-01-19 13:36:15
happy,0.91,1768804575.964988,2026-01-19 13:36:15
happy,0.86,1768804576.241663,2026-01-19 13:36:16
neutral,0.5,1768804576.4124796,2026-01-19 13:36:16
neutral,0.67,1768804576.7401826,2026-01-19 13:36:16
neutral,0.69,1768804577.0802982,2026-01-19 13:36:17
neutral,0.67,1768804577.4358366,2026-01-19 13:36:17
neutral,0.48,1768804577.6370554,2026-01-19 13:36:17
neutral,0.53,1768804577.9721603,2026-01-19 13:36:17
neutral,0.53,1768804578.28614,2026-01-19 13:36:18
happy,0.97,1768804578.429981,2026-01-19 13:36:18
happy,0.99,1768804578.5723853,2026-01-19 13:36:18
happy,0.82,1768804579.4423645,2026-01-19 13:36:19
happy,0.74,1768804579.775403,2026-01-19 13:36:19
happy,0.98,1768804580.067043,2026-01-19 13:36:20
happy,1.0,1768804580.3329687,2026-01-19 13:36:20
happy,1.0,1768804580.6322417,2026-01-19 13:36:20
happy,0.43,1768804581.034799,2026-01-19 13:36:21
happy,0.91,1768804581.8382783,2026-01-19 13:36:21
neutral,0.62,1768804582.2034543,2026-01-19 13:36:22
neutral,0.59,1768804582.5966876,2026-01-19 13:36:22
angry,0.4,1768804582.9034503,2026-01-19 13:36:22
neutral,0.65,1768804583.1480882,2026-01-19 13:36:23
happy,0.45,1768804583.490268,2026-01-19 13:36:23
angry,0.23,1768804584.112568,2026-01-19 13:36:24
happy,0.97,1768804584.3915374,2026-01-19 13:36:24
happy,0.95,1768804584.721557,2026-01-19 13:36:24
neutral,0.47,1768804585.040662,2026-01-19 13:36:25
neutral,0.65,1768804585.3265698,2026-01-19 13:36:25
neutral,0.71,1768804585.5566297,2026-01-19 13:36:25
neutral,0.55,1768804585.8615048,2026-01-19 13:36:25
neutral,0.33,1768804586.151535,2026-01-19 13:36:26
neutral,0.38,1768804586.4194863,2026-01-19 13:36:26
happy,0.62,1768804586.6694784,2026-01-19 13:36:26
happy,0.93,1768804586.922514,2026-01-19 13:36:26
happy,0.89,1768804587.1727812,2026-01-19 13:36:27
happy,0.87,1768804587.4438162,2026-01-19 13:36:27
happy,0.87,1768804587.7114198,2026-01-19 13:36:27
happy,0.96,1768804588.029532,2026-01-19 13:36:28
happy,0.85,1768804588.3070683,2026-01-19 13:36:28
angry,0.3,1768804588.6413915,2026-01-19 13:36:28
happy,0.57,1768804588.8872786,2026-01-19 13:36:28
angry,0.36,1768804589.1327863,2026-01-19 13:36:29
sad,0.38,1768804590.3777413,2026-01-19 13:36:30
happy,0.99,1768804592.845352,2026-01-19 13:36:32
happy,0.99,1768804593.115239,2026-01-19 13:36:33
happy,0.73,1768804593.3108757,2026-01-19 13:36:33
happy,0.46,1768804593.5880706,2026-01-19 13:36:33
happy,0.36,1768804593.9257848,2026-01-19 13:36:33
happy,0.75,1768804594.1981692,2026-01-19 13:36:34
happy,0.62,1768804594.469036,2026-01-19 13:36:34
happy,0.86,1768804594.7294817,2026-01-19 13:36:34
happy,0.83,1768804594.9744349,2026-01-19 13:36:34
happy,0.77,1768804595.2396746,2026-01-19 13:36:35
happy,0.68,1768804595.4846983,2026-01-19 13:36:35
neutral,0.4,1768804595.792633,2026-01-19 13:36:35
sad,0.4,1768804596.150539,2026-01-19 13:36:36
neutral,0.52,1768804596.432939,2026-01-19 13:36:36
sad,0.48,1768804596.6930985,2026-01-19 13:36:36
neutral,0.61,1768804596.9269192,2026-01-19 13:36:36
neutral,0.59,1768804597.166898,2026-01-19 13:36:37
neutral,0.65,1768804597.4963543,2026-01-19 13:36:37
neutral,0.53,1768804597.782092,2026-01-19 13:36:37
neutral,0.55,1768804598.0856693,2026-01-19 13:36:38
neutral,0.61,1768804598.3573935,2026-01-19 13:36:38
neutral,0.48,1768804598.6580434,2026-01-19 13:36:38
neutral,0.49,1768804598.9514709,2026-01-19 13:36:38
neutral,0.53,1768804599.5451422,2026-01-19 13:36:39
neutral,0.5,1768804599.9266226,2026-01-19 13:36:39
neutral,0.47,1768804600.9061453,2026-01-19 13:36:40
sad,0.39,1768804601.2455149,2026-01-19 13:36:41
neutral,0.52,1768804601.5187004,2026-01-19 13:36:41
angry,0.48,1768804601.8290708,2026-01-19 13:36:41
angry,0.46,1768804602.1849446,2026-01-19 13:36:42
neutral,0.51,1768804602.5535913,2026-01-19 13:36:42
happy,0.81,1768804602.9693987,2026-01-19 13:36:42
happy,0.31,1768804604.3216014,2026-01-19 13:36:44
fear,0.25,1768804604.583352,2026-01-19 13:36:44
sad,0.28,1768804604.8316817,2026-01-19 13:36:44
neutral,0.41,1768804606.3849158,2026-01-19 13:36:46
angry,0.38,1768804606.6967971,2026-01-19 13:36:46
neutral,0.38,1768804606.9578536,2026-01-19 13:36:46
neutral,0.45,1768804607.197605,2026-01-19 13:36:47
neutral,0.5,1768804607.4361465,2026-01-19 13:36:47
neutral,0.6,1768804607.7525787,2026-01-19 13:36:47
neutral,0.54,1768804608.0700405,2026-01-19 13:36:48
neutral,0.7,1768804608.3736734,2026-01-19 13:36:48
neutral,0.74,1768804608.721075,2026-01-19 13:36:48
neutral,0.71,1768804608.9391122,2026-01-19 13:36:48
neutral,0.7,1768804609.097571,2026-01-19 13:36:49
neutral,0.69,1768804609.307093,2026-01-19 13:36:49
neutral,0.6,1768804609.569373,2026-01-19 13:36:49
neutral,0.48,1768804609.7752535,2026-01-19 13:36:49
happy,0.33,1768804610.1516418,2026-01-19 13:36:50
neutral,0.38,1768804610.4731874,2026-01-19 13:36:50
happy,0.71,1768804610.7098992,2026-01-19 13:36:50
happy,0.98,1768804610.958953,2026-01-19 13:36:50
happy,0.98,1768804611.194433,2026-01-19 13:36:51
happy,0.97,1768804611.4401808,2026-01-19 13:36:51
happy,0.92,1768804611.6995955,2026-01-19 13:36:51
happy,0.95,1768804611.9388485,2026-01-19 13:36:51
happy,0.99,1768804612.175207,2026-01-19 13:36:52
happy,0.98,1768804612.4817548,2026-01-19 13:36:52
happy,0.98,1768804612.784878,2026-01-19 13:36:52
happy,0.97,1768804613.093792,2026-01-19 13:36:53
sad,0.28,1768804613.320922,2026-01-19 13:36:53
surprise,0.47,1768804613.6437504,2026-01-19 13:36:53
angry,0.37,1768804614.3098524,2026-01-19 13:36:54
happy,0.27,1768804614.715494,2026-01-19 13:36:54
happy,0.45,1768804615.027708,2026-01-19 13:36:55
happy,0.98,1768804615.3709295,2026-01-19 13:36:55
happy,0.64,1768804617.4370947,2026-01-19 13:36:57
neutral,0.48,1768804617.7020922,2026-01-19 13:36:57
neutral,0.67,1768804617.9115653,2026-01-19 13:36:57
neutral,0.38,1768804618.219349,2026-01-19 13:36:58
neutral,0.39,1768804618.594332,2026-01-19 13:36:58
neutral,0.59,1768804618.8829756,2026-01-19 13:36:58
neutral,0.52,1768804619.157983,2026-01-19 13:36:59
neutral,0.43,1768804619.4282806,2026-01-19 13:36:59
neutral,0.62,1768804619.7780943,2026-01-19 13:36:59
neutral,0.55,1768804620.0455675,2026-01-19 13:37:00
neutral,0.34,1768804620.2926798,2026-01-19 13:37:00
neutral,0.42,1768804620.6783183,2026-01-19 13:37:00
sad,0.39,1768804621.0537567,2026-01-19 13:37:01
sad,0.33,1768804621.315754,2026-01-19 13:37:01
happy,0.39,1768804621.580534,2026-01-19 13:37:01
happy,0.84,1768804621.9433844,2026-01-19 13:37:01
happy,0.93,1768804622.308172,2026-01-19 13:37:02
happy,0.96,1768804622.6655447,2026-01-19 13:37:02
neutral,0.31,1768804622.8452327,2026-01-19 13:37:02
sad,0.52,1768804623.1392787,2026-01-19 13:37:03
sad,0.75,1768804623.3879197,2026-01-19 13:37:03
sad,0.59,1768804623.635395,2026-01-19 13:37:03
sad,0.61,1768804623.9218304,2026-01-19 13:37:03
sad,0.55,1768804624.1594977,2026-01-19 13:37:04
sad,0.53,1768804624.423083,2026-01-19 13:37:04
sad,0.51,1768804624.613183,2026-01-19 13:37:04
sad,0.6,1768804624.9592328,2026-01-19 13:37:04
sad,0.58,1768804625.2281687,2026-01-19 13:37:05
sad,0.49,1768804625.559686,2026-01-19 13:37:05
angry,0.48,1768804625.8494318,2026-01-19 13:37:05
sad,0.35,1768804626.1977468,2026-01-19 13:37:06
neutral,0.5,1768804626.5226965,2026-01-19 13:37:06
happy,0.9,1768804626.9130018,2026-01-19 13:37:06
happy,0.77,1768804627.089799,2026-01-19 13:37:07
neutral,0.43,1768804627.409612,2026-01-19 13:37:07
happy,0.64,1768804627.7112472,2026-01-19 13:37:07
happy,0.8,1768804627.979983,2026-01-19 13:37:07
happy,0.56,1768804628.3143325,2026-01-19 13:37:08
neutral,0.45,1768804629.4725337,2026-01-19 13:37:09
neutral,0.54,1768804629.802394,2026-01-19 13:37:09
neutral,0.4,1768804630.0341437,2026-01-19 13:37:10
neutral,0.49,1768804630.2357345,2026-01-19 13:37:10
neutral,0.51,1768804630.4386816,2026-01-19 13:37:10
neutral,0.48,1768804630.7299218,2026-01-19 13:37:10
neutral,0.52,1768804631.0413926,2026-01-19 13:37:11
neutral,0.57,1768804631.3036118,2026-01-19 13:37:11
neutral,0.6,1768804631.5449598,2026-01-19 13:37:11
neutral,0.67,1768804631.7985036,2026-01-19 13:37:11
neutral,0.76,1768804632.0526867,2026-01-19 13:37:12
neutral,0.7,1768804632.3183844,2026-01-19 13:37:12
neutral,0.74,1768804632.5914154,2026-01-19 13:37:12
neutral,0.73,1768804632.908391,2026-01-19 13:37:12
neutral,0.68,1768804633.2126534,2026-01-19 13:37:13
neutral,0.71,1768804633.5188916,2026-01-19 13:37:13
neutral,0.7,1768804633.7540605,2026-01-19 13:37:13
neutral,0.49,1768804634.018163,2026-01-19 13:37:14
happy,0.83,1768804634.347635,2026-01-19 13:37:14
happy,0.86,1768804634.6511602,2026-01-19 13:37:14
happy,0.78,1768804634.9429805,2026-01-19 13:37:14
happy,0.89,1768804635.2690701,2026-01-19 13:37:15
sad,0.42,1768804635.5410397,2026-01-19 13:37:15
sad,0.36,1768804635.7962875,2026-01-19 13:37:15
angry,0.41,1768804636.0423257,2026-01-19 13:37:16
angry,0.54,1768804636.330045,2026-01-19 13:37:16
sad,0.66,1768804636.6464367,2026-01-19 13:37:16
sad,0.46,1768804636.9552991,2026-01-19 13:37:16
sad,0.56,1768804637.268018,2026-01-19 13:37:17
sad,0.46,1768804637.5797043,2026-01-19 13:37:17
sad,0.46,1768804637.856603,2026-01-19 13:37:17
sad,0.45,1768804638.194094,2026-01-19 13:37:18
sad,0.53,1768804638.5013645,2026-01-19 13:37:18
sad,0.5,1768804638.8056405,2026-01-19 13:37:18
sad,0.37,1768804639.1651635,2026-01-19 13:37:19
sad,0.41,1768804639.4539933,2026-01-19 13:37:19
neutral,0.55,1768804639.6314495,2026-01-19 13:37:19
neutral,0.72,1768804639.8082798,2026-01-19 13:37:19
neutral,0.83,1768804640.0556643,2026-01-19 13:37:20
neutral,0.78,1768804640.3020382,2026-01-19 13:37:20
neutral,0.73,1768804640.5764208,2026-01-19 13:37:20
neutral,0.52,1768804640.832251,2026-01-19 13:37:20
neutral,0.39,1768804641.0773058,2026-01-19 13:37:21
neutral,0.63,1768804641.8998098,2026-01-19 13:37:21
sad,0.44,1768804642.1976182,2026-01-19 13:37:22
sad,0.42,1768804642.4679422,2026-01-19 13:37:22
sad,0.51,1768804642.7453191,2026-01-19 13:37:22
sad,0.52,1768804643.0280855,2026-01-19 13:37:23
sad,0.44,1768804643.318028,2026-01-19 13:37:23
sad,0.42,1768804643.6168978,2026-01-19 13:37:23
sad,0.43,1768804643.9398627,2026-01-19 13:37:23
sad,0.45,1768804644.2484555,2026-01-19 13:37:24
sad,0.48,1768804644.5890183,2026-01-19 13:37:24
sad,0.51,1768804644.917407,2026-01-19 13:37:24
sad,0.5,1768804645.215588,2026-01-19 13:37:25
sad,0.34,1768804645.4708004,2026-01-19 13:37:25
sad,0.42,1768804645.7974753,2026-01-19 13:37:25
sad,0.4,1768804646.0936506,2026-01-19 13:37:26
sad,0.37,1768804646.2708614,2026-01-19 13:37:26
neutral,0.43,1768804646.5430741,2026-01-19 13:37:26
sad,0.41,1768804646.8345184,2026-01-19 13:37:26
sad,0.52,1768804647.147855,2026-01-19 13:37:27
sad,0.52,1768804647.471702,2026-01-19 13:37:27
sad,0.5,1768804647.7198324,2026-01-19 13:37:27
sad,0.5,1768804647.958582,2026-01-19 13:37:27
sad,0.41,1768804648.1876698,2026-01-19 13:37:28
neutral,0.4,1768804648.4219618,2026-01-19 13:37:28
neutral,0.38,1768804648.670388,2026-01-19 13:37:28
neutral,0.4,1768804648.9848745,2026-01-19 13:37:28
sad,0.36,1768804649.2856655,2026-01-19 13:37:29
neutral,0.57,1768804649.5879927,2026-01-19 13:37:29
neutral,0.48,1768804649.819593,2026-01-19 13:37:29
neutral,0.51,1768804650.0594592,2026-01-19 13:37:30
neutral,0.5,1768804650.2968137,2026-01-19 13:37:30
neutral,0.45,1768804650.5378864,2026-01-19 13:37:30
neutral,0.58,1768804650.7975912,2026-01-19 13:37:30
neutral,0.56,1768804651.138634,2026-01-19 13:37:31
neutral,0.44,1768804651.48602,2026-01-19 13:37:31
neutral,0.43,1768804651.8127947,2026-01-19 13:37:31
neutral,0.45,1768804652.0408082,2026-01-19 13:37:32
neutral,0.48,1768804652.3548214,2026-01-19 13:37:32
neutral,0.47,1768804652.6650233,2026-01-19 13:37:32
neutral,0.46,1768804652.9770272,2026-01-19 13:37:32
neutral,0.49,1768804653.2370446,2026-01-19 13:37:33
neutral,0.77,1768804653.570933,2026-01-19 13:37:33
neutral,0.59,1768804653.8847766,2026-01-19 13:37:33
neutral,0.69,1768804654.1913085,2026-01-19 13:37:34
neutral,0.58,1768804654.5076442,2026-01-19 13:37:34
neutral,0.48,1768804654.7956192,2026-01-19 13:37:34
neutral,0.48,1768804655.0721214,2026-01-19 13:37:35
neutral,0.42,1768804655.330708,2026-01-19 13:37:35
neutral,0.49,1768804655.5807767,2026-01-19 13:37:35
neutral,0.46,1768804655.8371239,2026-01-19 13:37:35
neutral,0.46,1768804656.0853999,2026-01-19 13:37:36
neutral,0.52,1768804656.371428,2026-01-19 13:37:36
sad,0.45,1768804656.6517797,2026-01-19 13:37:36
sad,0.47,1768804656.9190073,2026-01-19 13:37:36
neutral,0.51,1768804657.1892185,2026-01-19 13:37:37
neutral,0.55,1768804657.4345028,2026-01-19 13:37:37
sad,0.48,1768804657.7133305,2026-01-19 13:37:37
sad,0.47,1768804658.0990067,2026-01-19 13:37:38
neutral,0.43,1768804658.4235413,2026-01-19 13:37:38
neutral,0.32,1768804658.7358541,2026-01-19 13:37:38
neutral,0.37,1768804659.045694,2026-01-19 13:37:39
neutral,0.38,1768804659.3770509,2026-01-19 13:37:39
neutral,0.6,1768804659.71239,2026-01-19 13:37:39
neutral,0.58,1768804660.0074039,2026-01-19 13:37:40
neutral,0.49,1768804660.4147532,2026-01-19 13:37:40
neutral,0.64,1768804660.700318,2026-01-19 13:37:40
neutral,0.63,1768804660.981571,2026-01-19 13:37:40
neutral,0.59,1768804661.2709563,2026-01-19 13:37:41
neutral,0.54,1768804661.5809884,2026-01-19 13:37:41
neutral,0.57,1768804661.920326,2026-01-19 13:37:41
neutral,0.63,1768804662.1860602,2026-01-19 13:37:42
happy,0.44,1768804662.4331875,2026-01-19 13:37:42
happy,0.36,1768804662.7606065,2026-01-19 13:37:42
happy,0.98,1768804663.1570475,2026-01-19 13:37:43
happy,0.97,1768804663.3860662,2026-01-19 13:37:43
happy,0.89,1768804663.7454965,2026-01-19 13:37:43
happy,0.8,1768804664.0890515,2026-01-19 13:37:44
happy,0.98,1768804664.279621,2026-01-19 13:37:44
happy,0.97,1768804664.6268625,2026-01-19 13:37:44
happy,0.97,1768804664.9620452,2026-01-19 13:37:44
happy,0.97,1768804665.2484872,2026-01-19 13:37:45
happy,0.98,1768804665.4922776,2026-01-19 13:37:45
happy,0.98,1768804665.7354681,2026-01-19 13:37:45
happy,0.99,1768804666.0304384,2026-01-19 13:37:46
happy,0.98,1768804666.367757,2026-01-19 13:37:46
happy,0.98,1768804666.6387517,2026-01-19 13:37:46
happy,0.94,1768804666.9754581,2026-01-19 13:37:46
happy,0.94,1768804667.253109,2026-01-19 13:37:47
happy,0.96,1768804667.5325143,2026-01-19 13:37:47
happy,0.91,1768804667.7009335,2026-01-19 13:37:47
happy,0.87,1768804668.0430489,2026-01-19 13:37:48
happy,0.88,1768804668.314144,2026-01-19 13:37:48
happy,0.93,1768804668.567068,2026-01-19 13:37:48
happy,0.95,1768804668.8195908,2026-01-19 13:37:48
happy,0.3,1768804669.0248077,2026-01-19 13:37:49
happy,0.31,1768804669.3776224,2026-01-19 13:37:49
happy,0.93,1768804669.756031,2026-01-19 13:37:49
neutral,0.57,1768804670.0658844,2026-01-19 13:37:50
neutral,0.79,1768804670.2392478,2026-01-19 13:37:50
neutral,0.59,1768804670.4313715,2026-01-19 13:37:50
neutral,0.57,1768804670.7910542,2026-01-19 13:37:50
neutral,0.65,1768804671.0632575,2026-01-19 13:37:51
neutral,0.38,1768804671.4653687,2026-01-19 13:37:51
sad,0.42,1768804671.718465,2026-01-19 13:37:51
angry,0.51,1768804671.9849186,2026-01-19 13:37:51
angry,0.43,1768804672.155251,2026-01-19 13:37:52
angry,0.43,1768804672.379645,2026-01-19 13:37:52
sad,0.46,1768804672.6378515,2026-01-19 13:37:52
sad,0.48,1768804672.9044192,2026-01-19 13:37:52
sad,0.47,1768804673.1890674,2026-01-19 13:37:53
sad,0.43,1768804673.5510907,2026-01-19 13:37:53
angry,0.43,1768804673.899593,2026-01-19 13:37:53
sad,0.4,1768804674.122499,2026-01-19 13:37:54
sad,0.43,1768804674.3480139,2026-01-19 13:37:54
angry,0.39,1768804674.586434,2026-01-19 13:37:54
angry,0.38,1768804674.906315,2026-01-19 13:37:54
neutral,0.39,1768804675.215357,2026-01-19 13:37:55
sad,0.43,1768804675.5292304,2026-01-19 13:37:55
neutral,0.4,1768804675.8450387,2026-01-19 13:37:55
happy,0.72,1768804676.1996434,2026-01-19 13:37:56
happy,0.41,1768804676.4345481,2026-01-19 13:37:56
happy,0.74,1768804676.8251061,2026-01-19 13:37:56
sad,0.52,1768804677.4910395,2026-01-19 13:37:57
sad,0.37,1768804677.789671,2026-01-19 13:37:57
neutral,0.43,1768804678.0468106,2026-01-19 13:37:58
happy,0.34,1768804678.346654,2026-01-19 13:37:58
neutral,0.41,1768804678.5393705,2026-01-19 13:37:58
neutral,0.39,1768804678.792925,2026-01-19 13:37:58
sad,0.38,1768804679.0724726,2026-01-19 13:37:59
neutral,0.46,1768804679.4031835,2026-01-19 13:37:59
neutral,0.43,1768804679.7032504,2026-01-19 13:37:59
neutral,0.39,1768804680.0597603,2026-01-19 13:38:00
sad,0.38,1768804680.3871567,2026-01-19 13:38:00
neutral,0.47,1768804680.6346252,2026-01-19 13:38:00
sad,0.45,1768804680.893558,2026-01-19 13:38:00
sad,0.4,1768804681.1342077,2026-01-19 13:38:01
sad,0.41,1768804681.401056,2026-01-19 13:38:01
neutral,0.38,1768804681.6387386,2026-01-19 13:38:01
sad,0.51,1768804681.9632375,2026-01-19 13:38:01
sad,0.45,1768804682.231901,2026-01-19 13:38:02
sad,0.4,1768804682.5396924,2026-01-19 13:38:02
neutral,0.37,1768804682.8784368,2026-01-19 13:38:02
sad,0.38,1768804683.1651032,2026-01-19 13:38:03
sad,0.5,1768804683.501509,2026-01-19 13:38:03
sad,0.43,1768804683.7793992,2026-01-19 13:38:03
sad,0.43,1768804684.0539358,2026-01-19 13:38:04
sad,0.53,1768804684.3271654,2026-01-19 13:38:04
sad,0.46,1768804684.6377366,2026-01-19 13:38:04
angry,0.41,1768804684.9400084,2026-01-19 13:38:04
sad,0.4,1768804685.2549977,2026-01-19 13:38:05
neutral,0.46,1768804685.6041863,2026-01-19 13:38:05
happy,0.84,1768804685.913886,2026-01-19 13:38:05
happy,0.62,1768804686.2202823,2026-01-19 13:38:06
sad,0.31,1768804686.5327291,2026-01-19 13:38:06
happy,0.88,1768804686.7894492,2026-01-19 13:38:06
happy,0.99,1768804687.0390244,2026-01-19 13:38:07
happy,0.99,1768804687.377937,2026-01-19 13:38:07
happy,1.0,1768804687.6945202,2026-01-19 13:38:07
happy,1.0,1768804688.014475,2026-01-19 13:38:08
happy,0.98,1768804688.3338923,2026-01-19 13:38:08
angry,0.31,1768804688.6102006,2026-01-19 13:38:08
neutral,0.43,1768804688.9538624,2026-01-19 13:38:08
sad,0.42,1768804689.3357363,2026-01-19 13:38:09
neutral,0.4,1768804689.6414466,2026-01-19 13:38:09
neutral,0.46,1768804689.9469578,2026-01-19 13:38:09
neutral,0.4,1768804690.2000518,2026-01-19 13:38:10
neutral,0.42,1768804690.4465532,2026-01-19 13:38:10
sad,0.37,1768804690.7145932,2026-01-19 13:38:10
sad,0.35,1768804690.96795,2026-01-19 13:38:10
angry,0.44,1768804691.2116983,2026-01-19 13:38:11
sad,0.45,1768804691.4700518,2026-01-19 13:38:11
sad,0.39,1768804691.728174,2026-01-19 13:38:11
sad,0.46,1768804691.9478157,2026-01-19 13:38:11
sad,0.54,1768804692.2033036,2026-01-19 13:38:12
sad,0.49,1768804692.4749136,2026-01-19 13:38:12
neutral,0.37,1768804692.7941391,2026-01-19 13:38:12
sad,0.39,1768804693.0880992,2026-01-19 13:38:13
sad,0.5,1768804693.408109,2026-01-19 13:38:13
sad,0.44,1768804693.7383444,2026-01-19 13:38:13
sad,0.52,1768804693.9974158,2026-01-19 13:38:13
sad,0.4,1768804694.2916243,2026-01-19 13:38:14
sad,0.49,1768804694.544789,2026-01-19 13:38:14
sad,0.55,1768804694.837287,2026-01-19 13:38:14
angry,0.4,1768804695.535519,2026-01-19 13:38:15
neutral,0.34,1768804696.0236037,2026-01-19 13:38:16
neutral,0.29,1768804696.406437,2026-01-19 13:38:16
happy,0.88,1768804696.6647472,2026-01-19 13:38:16
neutral,0.54,1768804697.2120514,2026-01-19 13:38:17
angry,0.53,1768804697.5135012,2026-01-19 13:38:17
happy,0.99,1768804700.170034,2026-01-19 13:38:20
happy,1.0,1768804700.4862685,2026-01-19 13:38:20
happy,1.0,1768804700.9337788,2026-01-19 13:38:20
happy,0.99,1768804701.2633195,2026-01-19 13:38:21
happy,0.98,1768804701.5635715,2026-01-19 13:38:21
happy,0.99,1768804701.8882134,2026-01-19 13:38:21
happy,0.92,1768804702.2175434,2026-01-19 13:38:22
neutral,0.67,1768804702.4958057,2026-01-19 13:38:22
neutral,0.54,1768804702.756533,2026-01-19 13:38:22
neutral,0.45,1768804703.00742,2026-01-19 13:38:23
neutral,0.53,1768804703.2890043,2026-01-19 13:38:23
neutral,0.52,1768804703.5834465,2026-01-19 13:38:23
angry,0.47,1768804703.8246243,2026-01-19 13:38:23
sad,0.33,1768804704.0686576,2026-01-19 13:38:24
sad,0.32,1768804704.42996,2026-01-19 13:38:24
angry,0.4,1768804704.7285888,2026-01-19 13:38:24
neutral,0.36,1768804704.9955757,2026-01-19 13:38:24
neutral,0.38,1768804705.2622774,2026-01-19 13:38:25
angry,0.54,1768804705.53435,2026-01-19 13:38:25
angry,0.47,1768804705.7927496,2026-01-19 13:38:25
angry,0.52,1768804706.0331278,2026-01-19 13:38:26
angry,0.41,1768804706.5408907,2026-01-19 13:38:26
angry,0.44,1768804706.779776,2026-01-19 13:38:26
angry,0.42,1768804707.0319672,2026-01-19 13:38:27
angry,0.48,1768804707.2540107,2026-01-19 13:38:27
angry,0.43,1768804707.5632904,2026-01-19 13:38:27
angry,0.36,1768804707.8311808,2026-01-19 13:38:27
angry,0.49,1768804708.0269172,2026-01-19 13:38:28
happy,0.31,1768804708.3337684,2026-01-19 13:38:28
happy,1.0,1768804708.5886104,2026-01-19 13:38:28
happy,0.99,1768804708.831838,2026-01-19 13:38:28
happy,0.97,1768804709.1809046,2026-01-19 13:38:29
happy,0.98,1768804709.5374842,2026-01-19 13:38:29
happy,0.92,1768804709.8052006,2026-01-19 13:38:29
happy,0.98,1768804710.0721474,2026-01-19 13:38:30
happy,0.99,1768804710.3430393,2026-01-19 13:38:30
happy,0.99,1768804710.6264393,2026-01-19 13:38:30
angry,0.45,1768804711.0165377,2026-01-19 13:38:31
neutral,0.38,1768804711.2590158,2026-01-19 13:38:31
sad,0.4,1768804711.5637023,2026-01-19 13:38:31
sad,0.37,1768804711.8707826,2026-01-19 13:38:31
neutral,0.38,1768804712.1556554,2026-01-19 13:38:32
