emotion,confidence,timestamp
neutral,0.51,1767000706.4517395
neutral,0.55,1767000706.5939076
neutral,0.44,1767000706.7266672
neutral,0.63,1767000706.8811958
angry,0.3,1767000707.0504076
neutral,0.76,1767000707.199729
neutral,0.77,1767000707.3275924
neutral,0.82,1767000707.468648
neutral,0.71,1767000707.6479707
neutral,0.72,1767000707.8061116
neutral,0.83,1767000707.9642
neutral,0.79,1767000708.1102962
happy,0.92,1767000708.2654066
happy,0.86,1767000708.4372406
happy,0.89,1767000708.5845573
happy,0.9,1767000708.727877
happy,0.83,1767000708.884056
happy,0.81,1767000709.0363443
happy,0.82,1767000709.2014148
happy,0.57,1767000709.3294039
neutral,0.89,1767000709.4579067
neutral,0.7,1767000709.5979528
neutral,0.4,1767000709.7426417
neutral,0.37,1767000709.8917456
neutral,0.5,1767000710.045708
neutral,0.54,1767000710.2013931
neutral,0.58,1767000710.355866
neutral,0.49,1767000710.5116475
neutral,0.45,1767000710.6630087
neutral,0.45,1767000710.8336902
sad,0.31,1767000710.9732819
neutral,0.5,1767000711.1234937
happy,0.3,1767000711.2657979
neutral,0.39,1767000711.407388
sad,0.38,1767000711.5559855
sad,0.38,1767000711.7023368
neutral,0.35,1767000711.8583639
neutral,0.31,1767000711.9898865
sad,0.34,1767000712.1360254
neutral,0.31,1767000712.2877364
sad,0.32,1767000712.437727
sad,0.3,1767000712.558839
sad,0.28,1767000712.691621
neutral,0.45,1767000712.8233576
neutral,0.52,1767000712.9757254
neutral,0.47,1767000713.1232054
neutral,0.51,1767000713.2629712
neutral,0.65,1767000713.39312
neutral,0.66,1767000713.5257185
neutral,0.51,1767000713.673124
fear,0.3,1767000713.8244557
angry,0.4,1767000713.9633143
angry,0.3,1767000714.0985968
fear,0.41,1767000714.22229
fear,0.41,1767000714.3592618
fear,0.45,1767000714.4984558
fear,0.45,1767000714.6337225
fear,0.53,1767000714.7929177
fear,0.46,1767000714.9320865
fear,0.41,1767000715.0584686
fear,0.36,1767000715.1917186
fear,0.48,1767000715.3264964
fear,0.54,1767000715.4656932
angry,0.32,1767000715.6400387
fear,0.32,1767000715.8097477
fear,0.44,1767000715.9575276
fear,0.46,1767000716.0998278
fear,0.41,1767000716.2270918
fear,0.44,1767000716.354673
fear,0.48,1767000716.5034544
fear,0.48,1767000716.6326113
fear,0.4,1767000716.7872434
fear,0.43,1767000716.939959
fear,0.4,1767000717.100096
angry,0.4,1767000717.2778885
angry,0.37,1767000717.4317312
neutral,0.73,1767000717.5955062
neutral,0.55,1767000717.7316213
angry,0.33,1767000717.8635764
neutral,0.4,1767000718.0412178
angry,0.39,1767000718.29723
angry,0.45,1767000718.4664547
neutral,0.56,1767000718.5970135
neutral,0.37,1767000718.7414417
neutral,0.42,1767000718.860652
neutral,0.48,1767000719.003844
neutral,0.41,1767000719.1488435
neutral,0.45,1767000719.306347
neutral,0.68,1767000719.4602969
neutral,0.48,1767000719.5921266
neutral,0.33,1767000719.7301207
neutral,0.33,1767000719.8635304
neutral,0.42,1767000720.0462284
sad,0.35,1767000720.191328
neutral,0.43,1767000720.3271651
neutral,0.27,1767000720.4672909
neutral,0.3,1767000720.597356
neutral,0.42,1767000720.7175517
neutral,0.4,1767000720.8743267
neutral,0.35,1767000721.0321202
neutral,0.33,1767000721.1978345
neutral,0.35,1767000721.3380246
fear,0.31,1767000721.495243
fear,0.39,1767000721.6663582
fear,0.39,1767000721.8091507
neutral,0.31,1767000721.9664636
fear,0.33,1767000722.1039114
fear,0.46,1767000722.2523007
fear,0.45,1767000722.3804085
fear,0.49,1767000722.5306017
fear,0.43,1767000722.6623855
fear,0.4,1767000722.802214
angry,0.31,1767000722.9306178
fear,0.37,1767000723.0619717
fear,0.41,1767000723.1919546
fear,0.34,1767000723.3321614
angry,0.33,1767000723.4643657
fear,0.32,1767000723.6362894
fear,0.33,1767000723.7657616
neutral,0.29,1767000723.8975303
fear,0.29,1767000724.0714378
angry,0.32,1767000724.2269363
neutral,0.31,1767000724.3608885
fear,0.3,1767000724.4993136
neutral,0.37,1767000724.6307716
angry,0.31,1767000724.7610772
angry,0.3,1767000724.9033105
angry,0.35,1767000725.0662282
angry,0.48,1767000725.240802
angry,0.4,1767000725.395943
angry,0.35,1767000725.5285275
angry,0.37,1767000725.6724143
angry,0.42,1767000725.8333492
angry,0.6,1767000725.989644
angry,0.53,1767000726.1355324
angry,0.53,1767000726.256745
angry,0.44,1767000726.3880246
neutral,0.33,1767000726.5375447
angry,0.46,1767000726.7911887
angry,0.41,1767000726.9348469
neutral,0.29,1767000727.09004
fear,0.3,1767000727.2378817
neutral,0.36,1767000727.3672283
neutral,0.34,1767000727.4951577
angry,0.28,1767000727.672882
angry,0.37,1767000727.8284628
happy,0.38,1767000728.0818644
happy,0.42,1767000728.2414646
happy,0.79,1767000728.4042432
happy,0.42,1767000728.528601
happy,0.51,1767000728.6597145
happy,0.83,1767000728.7840989
happy,0.73,1767000728.9314437
happy,0.87,1767000729.0661101
happy,0.76,1767000729.2379653
happy,0.89,1767000729.3707683
happy,0.81,1767000729.5256543
happy,0.88,1767000729.665828
happy,0.9,1767000729.8059916
happy,0.73,1767000729.9571426
fear,0.56,1767000730.1024656
fear,0.32,1767000730.2578244
sad,0.38,1767000730.3897393
neutral,0.34,1767000730.5335987
sad,0.33,1767000730.6618788
neutral,0.32,1767000730.7818081
neutral,0.38,1767000730.9366674
angry,0.44,1767000731.0924146
angry,0.41,1767000731.2243273
angry,0.47,1767000731.3662474
angry,0.5,1767000731.4959698
angry,0.41,1767000731.6670866
angry,0.37,1767000731.7871933
sad,0.43,1767000731.9290676
sad,0.45,1767000732.1069212
sad,0.36,1767000732.2652795
neutral,0.39,1767000732.4229634
sad,0.37,1767000732.5643125
neutral,0.56,1767000732.6995418
sad,0.42,1767000732.870993
sad,0.39,1767000733.0256007
sad,0.41,1767000733.1634393
neutral,0.38,1767000733.2988875
neutral,0.64,1767000733.4339433
neutral,0.65,1767000733.580502
neutral,0.68,1767000733.731061
neutral,0.59,1767000733.8541489
neutral,0.56,1767000733.9964528
neutral,0.77,1767000734.1360357
neutral,0.65,1767000734.2915668
neutral,0.85,1767000734.4218342
neutral,0.88,1767000734.5578673
neutral,0.88,1767000734.7070594
neutral,0.87,1767000734.8750536
neutral,0.78,1767000735.0358608
neutral,0.81,1767000735.1863122
neutral,0.82,1767000735.3325834
neutral,0.84,1767000735.453417
neutral,0.84,1767000735.592791
neutral,0.86,1767000735.7336187
neutral,0.89,1767000735.8561068
neutral,0.9,1767000735.989998
neutral,0.9,1767000736.1421041
neutral,0.93,1767000736.3013592
neutral,0.9,1767000736.4656758
neutral,0.89,1767000736.60085
neutral,0.89,1767000736.75885
neutral,0.89,1767000736.90623
neutral,0.87,1767000737.0670638
neutral,0.89,1767000737.2264867
neutral,0.87,1767000737.360522
neutral,0.63,1767000737.5036716
neutral,0.86,1767000737.6706166
neutral,0.83,1767000737.7918313
neutral,0.83,1767000737.9295604
neutral,0.85,1767000738.0959685
neutral,0.78,1767000738.2434547
neutral,0.85,1767000738.3892338
neutral,0.86,1767000738.5353143
neutral,0.87,1767000738.69024
neutral,0.84,1767000738.8241777
neutral,0.68,1767000738.9725835
happy,0.72,1767000739.1266904
happy,0.71,1767000739.3062446
happy,0.73,1767000739.4612343
happy,0.78,1767000739.5915716
happy,0.82,1767000739.7314475
happy,0.8,1767000739.8721805
happy,0.71,1767000740.0256145
happy,0.75,1767000740.16163
happy,0.49,1767000740.3017578
neutral,0.92,1767000740.47513
neutral,0.83,1767000740.6280835
neutral,0.82,1767000740.7501335
neutral,0.76,1767000740.9021065
neutral,0.47,1767000741.0678086
sad,0.31,1767000741.2165003
neutral,0.32,1767000741.3730075
neutral,0.51,1767000741.5249221
neutral,0.47,1767000741.6688492
neutral,0.41,1767000741.7924142
neutral,0.39,1767000741.9346514
sad,0.38,1767000742.0952253
sad,0.43,1767000742.2330787
sad,0.56,1767000742.402421
sad,0.61,1767000742.538913
sad,0.62,1767000742.7070298
sad,0.62,1767000742.8639364
sad,0.67,1767000742.9946508
sad,0.68,1767000743.1357787
sad,0.67,1767000743.3027327
sad,0.62,1767000743.4369195
sad,0.66,1767000743.595953
sad,0.68,1767000743.7305415
sad,0.64,1767000743.8681605
sad,0.6,1767000744.0186102
sad,0.54,1767000744.1712902
sad,0.66,1767000744.3277988
sad,0.64,1767000744.5066822
sad,0.6,1767000744.662095
sad,0.61,1767000744.790545
sad,0.57,1767000744.940009
sad,0.58,1767000745.0930023
sad,0.54,1767000745.2173772
sad,0.54,1767000745.3674192
sad,0.56,1767000745.494106
sad,0.51,1767000745.6185029
sad,0.53,1767000745.765555
sad,0.56,1767000745.8931916
sad,0.55,1767000746.022203
sad,0.51,1767000746.1696942
sad,0.62,1767000746.334667
sad,0.66,1767000746.5002673
sad,0.62,1767000746.6341195
sad,0.66,1767000746.7945592
sad,0.67,1767000746.931692
sad,0.62,1767000747.0653253
sad,0.57,1767000747.2215965
sad,0.57,1767000747.3728323
sad,0.6,1767000747.535082
sad,0.61,1767000747.710671
sad,0.63,1767000747.8657606
sad,0.65,1767000748.0211666
sad,0.63,1767000748.1736076
sad,0.68,1767000748.33449
sad,0.62,1767000748.5078843
sad,0.66,1767000748.6632242
sad,0.64,1767000748.8229
sad,0.58,1767000748.9620292
sad,0.58,1767000749.0829103
sad,0.59,1767000749.2247884
sad,0.62,1767000749.3709521
sad,0.63,1767000749.534195
sad,0.58,1767000749.7105494
sad,0.56,1767000749.8710563
sad,0.43,1767000750.0324745
sad,0.42,1767000750.1617706
sad,0.35,1767000750.299289
neutral,0.48,1767000750.4680283
neutral,0.46,1767000750.5963166
neutral,0.56,1767000750.7340014
neutral,0.62,1767000750.9111593
neutral,0.57,1767000751.0697854
neutral,0.54,1767000751.2231228
neutral,0.64,1767000751.3682108
neutral,0.67,1767000751.5248978
neutral,0.56,1767000751.6769626
neutral,0.57,1767000751.8383503
neutral,0.55,1767000751.9998813
neutral,0.72,1767000752.1283278
neutral,0.54,1767000752.2655501
neutral,0.69,1767000752.4204779
neutral,0.52,1767000752.5637143
neutral,0.57,1767000752.6928601
neutral,0.45,1767000752.8221743
neutral,0.59,1767000752.9712873
neutral,0.37,1767000753.1217895
neutral,0.47,1767000753.2637239
neutral,0.4,1767000753.4046638
neutral,0.63,1767000753.564202
neutral,0.69,1767000753.7044733
neutral,0.48,1767000753.865069
neutral,0.41,1767000754.0276206
neutral,0.45,1767000754.1582649
neutral,0.44,1767000754.298547
neutral,0.4,1767000754.4826534
neutral,0.51,1767000754.6357725
neutral,0.53,1767000754.7899415
neutral,0.56,1767000754.936805
sad,0.34,1767000755.1090991
sad,0.29,1767000755.2726908
fear,0.45,1767000755.436915
fear,0.31,1767000755.597033
sad,0.34,1767000755.7354548
sad,0.44,1767000755.89751
angry,0.52,1767000756.0755043
angry,0.44,1767000756.2332883
angry,0.32,1767000756.396396
fear,0.31,1767000756.5343285
fear,0.35,1767000756.7001731
fear,0.37,1767000756.871388
fear,0.35,1767000757.0257883
neutral,0.46,1767000757.159064
neutral,0.42,1767000757.3021212
neutral,0.39,1767000757.4344184
fear,0.36,1767000757.597635
neutral,0.34,1767000757.735426
neutral,0.45,1767000757.8918822
fear,0.5,1767000758.0279388
fear,0.38,1767000758.173511
fear,0.43,1767000758.3252559
fear,0.38,1767000758.4782434
fear,0.48,1767000758.638454
fear,0.52,1767000758.7862496
fear,0.53,1767000758.9353292
fear,0.43,1767000759.099567
sad,0.41,1767000759.2738853
sad,0.38,1767000759.439449
sad,0.39,1767000759.5922148
sad,0.4,1767000759.7410245
neutral,0.33,1767000759.8941588
sad,0.41,1767000760.0612037
sad,0.41,1767000760.2032092
sad,0.53,1767000760.3549714
sad,0.42,1767000760.506381
neutral,0.57,1767000760.6653576
neutral,0.42,1767000760.8227546
neutral,0.46,1767000760.9660447
neutral,0.47,1767000761.100561
sad,0.39,1767000761.2743306
sad,0.45,1767000761.4382646
fear,0.46,1767000761.5916836
sad,0.49,1767000761.7316532
sad,0.46,1767000761.8673484
sad,0.41,1767000762.0245004
sad,0.41,1767000762.1657975
sad,0.44,1767000762.292779
fear,0.43,1767000762.4156342
sad,0.46,1767000762.5685134
sad,0.34,1767000762.7261162
sad,0.43,1767000762.872711
neutral,0.38,1767000763.0291438
sad,0.37,1767000763.163443
neutral,0.36,1767000763.307626
sad,0.27,1767000763.4646513
neutral,0.31,1767000763.6327453
neutral,0.37,1767000763.7669578
fear,0.33,1767000763.9284368
fear,0.32,1767000764.1020463
neutral,0.35,1767000764.2339394
neutral,0.42,1767000764.39253
neutral,0.35,1767000764.5345676
neutral,0.31,1767000764.7013755
neutral,0.31,1767000764.8738089
happy,0.43,1767000765.0287147
happy,0.51,1767000765.163372
happy,0.51,1767000765.3002658
neutral,0.46,1767000765.4248269
neutral,0.48,1767000765.5595164
neutral,0.67,1767000765.7103221
neutral,0.47,1767000765.8666353
neutral,0.62,1767000766.0282087
neutral,0.62,1767000766.1667383
neutral,0.46,1767000766.3458219
neutral,0.57,1767000766.5047164
neutral,0.47,1767000766.6691282
neutral,0.65,1767000766.8262057
neutral,0.59,1767000766.9947824
neutral,0.45,1767000767.137076
neutral,0.38,1767000767.301744
happy,0.33,1767000767.433047
neutral,0.36,1767000767.7110825
neutral,0.49,1767000767.870402
neutral,0.53,1767000768.0299408
neutral,0.67,1767000768.1740072
neutral,0.6,1767000768.3396301
happy,0.42,1767000768.5065434
angry,0.29,1767000768.658895
angry,0.32,1767000769.4951663
neutral,0.51,1767000769.6474576
happy,0.57,1767000769.806428
happy,0.75,1767000769.9601438
happy,0.94,1767000770.1304817
happy,0.94,1767000770.2653353
happy,0.96,1767000770.4267879
happy,0.98,1767000770.5692298
happy,0.99,1767000770.7352028
happy,0.99,1767000770.9038258
happy,0.99,1767000771.0802047
happy,0.98,1767000771.2327423
happy,0.99,1767000771.3808424
happy,0.99,1767000771.5333076
happy,0.99,1767000771.718159
happy,0.99,1767000771.8629713
happy,0.99,1767000771.9982255
happy,0.99,1767000772.155215
happy,0.98,1767000772.303805
happy,0.99,1767000772.450304
happy,0.99,1767000772.6162107
happy,0.98,1767000772.7754245
happy,0.99,1767000772.9478781
happy,0.98,1767000773.1158109
happy,0.98,1767000773.2635505
happy,0.97,1767000773.4028027
happy,0.91,1767000773.5659344
neutral,0.6,1767000773.7480032
neutral,0.34,1767000773.9052846
neutral,0.42,1767000774.6768143
angry,0.25,1767000774.8416224
neutral,0.58,1767000774.9999406
neutral,0.67,1767000775.1688335
neutral,0.77,1767000775.3503425
neutral,0.68,1767000775.500149
neutral,0.74,1767000775.6790626
neutral,0.6,1767000775.830746
neutral,0.65,1767000776.0010426
neutral,0.65,1767000776.155486
neutral,0.66,1767000776.3159378
neutral,0.46,1767000776.475655
happy,0.38,1767000776.6525311
neutral,0.35,1767000776.8000817
happy,0.45,1767000776.9511073
neutral,0.56,1767000777.1130943
neutral,0.47,1767000777.2754035
happy,0.29,1767000777.4304042
happy,0.87,1767000777.6687605
happy,0.79,1767000777.8253121
happy,0.66,1767000777.993023
happy,0.77,1767000778.1660616
neutral,0.42,1767000778.5267081
happy,0.57,1767000778.6719315
neutral,0.41,1767000778.8402424
neutral,0.54,1767000778.9854887
neutral,0.65,1767000779.13159
happy,0.55,1767000779.3078976
neutral,0.61,1767000779.4733489
neutral,0.73,1767000779.6335955
happy,0.44,1767000779.7805107
happy,0.72,1767000779.9451666
happy,0.8,1767000780.1199586
happy,0.72,1767000780.2689846
surprise,0.42,1767000780.4294295
surprise,0.49,1767000780.5837333
surprise,0.62,1767000780.7467616
fear,0.44,1767000780.9107518
surprise,0.3,1767000781.0726078
surprise,0.85,1767000781.2309325
surprise,0.68,1767000781.376476
surprise,0.83,1767000781.5387263
surprise,0.81,1767000781.7139037
surprise,0.84,1767000781.876076
surprise,0.75,1767000782.0358453
surprise,0.83,1767000782.1802132
surprise,0.79,1767000782.3424337
surprise,0.8,1767000782.5125325
surprise,0.62,1767000782.6657608
fear,0.38,1767000782.8319254
surprise,0.5,1767000782.9803894
fear,0.57,1767000783.1436694
fear,0.4,1767000783.317122
surprise,0.38,1767000783.4723985
neutral,0.38,1767000783.6349552
neutral,0.5,1767000783.7972188
neutral,0.41,1767000783.9540021
neutral,0.73,1767000784.1225376
neutral,0.73,1767000784.279999
neutral,0.46,1767000784.4438736
surprise,0.45,1767000784.6240337
neutral,0.59,1767000784.7895684
surprise,0.37,1767000784.9685793
neutral,0.57,1767000785.1488242
neutral,0.67,1767000785.3221266
neutral,0.74,1767000785.4886985
neutral,0.77,1767000785.6384346
neutral,0.78,1767000785.7915502
neutral,0.85,1767000785.9558268
neutral,0.76,1767000786.12875
neutral,0.66,1767000786.2831647
neutral,0.96,1767000786.4429195
neutral,0.86,1767000786.617736
neutral,0.84,1767000786.775632
neutral,0.81,1767000786.9477718
neutral,0.87,1767000787.1203892
neutral,0.89,1767000787.280622
neutral,0.9,1767000787.4690301
neutral,0.9,1767000787.6540225
neutral,0.92,1767000787.8265326
neutral,0.77,1767000788.0930316
neutral,0.81,1767000788.2654226
neutral,0.79,1767000788.4606552
neutral,0.72,1767000788.6299736
neutral,0.39,1767000789.472342
neutral,0.71,1767000789.6656103
neutral,0.68,1767000789.8368237
neutral,0.73,1767000790.0375714
neutral,0.83,1767000790.201954
neutral,0.69,1767000790.382891
neutral,0.64,1767000790.5690804
neutral,0.82,1767000790.7609234
neutral,0.58,1767000790.9491684
neutral,0.66,1767000791.124441
neutral,0.88,1767000791.2923484
neutral,0.74,1767000791.4833062
happy,0.37,1767000791.6760368
neutral,0.65,1767000791.8897543
neutral,0.32,1767000792.0651565
neutral,0.54,1767000792.2329144
neutral,0.5,1767000792.4273489
neutral,0.53,1767000792.5953548
